VISUAL,AUDITORIAL,KINESTHETIC,LEARNINGSTYLE
7,8,7,A
10,12,9,A
8,9,8,A
6,7,6,A
6,8,6,A
7,9,6,A
8,11,9,A
7,9,7,A
8,10,8,A
9,10,9,A
8,11,8,A
8,9,8,A
7,9,11,AK
7,10,9,AK
8,10,10,AK
8,10,9,AK
9,10,11,AK
6,8,9,AK
6,8,8,AK
8,9,9,AK
7,9,8,AK
7,9,9,AK
7,8,9,AK
7,8,8,AK
7,8,8,AK
7,8,8,AK
5,6,7,AK
7,9,10,AK
7,9,9,AK
5,9,7,AK
7,9,10,AK
7,9,10,AK
6,6,10,K
8,8,9,K
7,8,11,K
8,8,10,K
8,8,10,K
8,8,10,K
7,6,9,K
7,8,11,K
9,9,11,K
8,8,9,K
6,5,11,K
7,7,9,K
6,6,7,K
4,5,8,K
9,9,10,K
6,6,8,K
9,8,12,K
8,7,11,K
9,9,10,K
8,7,10,K
9,8,12,K
8,9,11,K
7,7,9,K
6,6,8,K
8,7,10,K
7,8,10,K
7,7,10,K
9,8,8,V
8,7,7,V
13,7,9,V
11,7,8,V
10,7,7,V
10,8,8,V
10,8,7,V
8,5,5,V
9,7,6,V
12,7,9,V
9,8,8,V
10,7,7,V
11,7,8,V
9,4,6,V
10,7,8,V
10,7,8,V
11,8,8,V
9,7,7,V
10,7,8,V
10,9,9,V
9,8,8,V
10,6,7,V
9,10,7,VA
8,7,6,VA
9,8,7,VA
8,9,6,VA
12,11,10,VA
10,7,0,VA
11,11,8,VA
12,10,8,VA
9,9,8,VA
10,9,8,VA
10,9,8,VA
10,10,8,VA
10,10,9,VA
9,9,8,VA
7,8,5,VA
8,8,7,VA
8,9,7,VA
9,10,7,VA
11,10,5,VA
10,9,8,VA
9,9,8,VA
10,9,8,VA
9,9,9,VAK
9,9,9,VAK
7,7,7,VAK
8,8,8,VAK
8,8,8,VAK
8,8,8,VAK
10,10,10,VAK
8,8,8,VAK
7,7,7,VAK
7,7,7,VAK
9,8,9,VK
8,6,8,VK
11,8,10,VK
9,8,10,VK
8,7,8,VK
9,7,10,VK
9,8,10,VK
8,5,9,VK
8,7,9,VK
8,6,9,VK
8,7,8,VK
12,6,10,VK
7,5,8,VK
9,7,9,VK
8,7,8,VK
8,7,9,VK
8,7,9,VK
7,6,7,VK
10,5,9,VK
9,5,9,VK
9,7,8,VK
8,7,8,VK
9,7,8,VK
10,5,9,VK
10,7,11,VK
8,7,9,VK
9,5,10,VK
6,4,7,VK
8,5,8,VK
9,7,10,VK
10,6,8,VK
9,6,10,VK
11,8,12,VK
8,7,9,VK
7,6,7,VK
10,7,9,VK
11,9,13,VK
9,8,10,VK
9,8,10,VK
8,6,8,VK
9,6,10,VK
9,8,10,VK
9,8,9,VK
8,7,9,VK
9,5,7,VK
11,8,11,VK
9,6,10,VK
11,5,10,VK
9,8,10,VK
10,9,11,VK
9,7,9,VK
10,4,8,VK
9,7,9,VK
7,11,4,A
7,8,7,A
4,6,4,A
7,11,12,AK
8,10,11,AK
4,7,10,AK
7,9,8,AK
4,10,10,AK
8,10,11,AK
4,7,9,AK
3,9,10,AK
8,9,9,AK
6,10,8,AK
6,7,8,AK
8,9,10,AK
5,4,7,K
5,6,10,K
9,8,13,K
6,5,8,K
8,7,10,K
6,5,10,K
9,7,12,K
6,7,9,K
5,5,6,K
7,6,11,K
8,7,11,K
6,7,9,K
7,7,9,K
6,6,10,K
10,6,6,V
9,7,6,V
9,6,5,V
9,6,6,V
10,7,7,V
9,9,8,VA
5,6,2,VA
7,9,2,VA
10,9,8,VA
8,10,6,VA
8,7,5,VA
9,8,10,VK
7,6,8,VK
8,3,7,VK
8,5,8,VK
10,8,11,VK
8,5,9,VK
9,4,12,VK
8,5,9,VK
7,2,8,VK
8,6,7,VK
8,6,7,VK
7,11,8,A
5,9,6,A
8,9,8,A
8,9,8,A
7,8,7,A
6,11,8,A
6,9,7,A
7,10,7,A
7,11,8,A
7,9,6,A
5,10,7,A
7,12,6,A
7,11,8,A
5,8,9,AK
6,7,7,AK
7,8,9,AK
6,8,7,AK
6,8,9,AK
6,10,12,AK
9,10,10,AK
3,11,9,AK
7,8,8,AK
7,9,8,AK
6,8,7,AK
8,10,10,AK
7,9,9,AK
8,10,9,AK
4,9,12,AK
8,10,12,AK
8,9,9,AK
4,8,9,AK
6,9,9,AK
5,9,10,AK
6,8,9,AK
6,9,10,AK
6,10,14,AK
4,8,9,AK
6,10,9,AK
2,12,11,AK
6,7,8,AK
7,8,8,AK
7,11,9,AK
7,8,8,AK
5,9,10,AK
7,8,8,AK
5,9,11,AK
7,11,11,AK
6,6,10,K
8,8,9,K
9,8,11,K
5,6,10,K
8,6,12,K
7,7,8,K
5,7,14,K
6,6,7,K
6,6,10,K
5,7,11,K
6,7,11,K
7,6,11,K
7,6,9,K
8,9,11,K
8,8,10,K
8,8,9,K
7,5,10,K
7,7,9,K
5,6,8,K
8,8,11,K
9,9,14,K
7,6,13,K
5,8,12,K
6,7,9,K
8,6,11,K
8,6,11,K
6,7,10,K
7,7,8,K
5,6,10,K
5,5,11,K
8,8,11,K
6,6,7,K
6,7,12,K
8,7,10,K
8,6,12,K
5,5,8,K
6,6,10,K
5,5,8,K
6,6,10,K
11,8,9,V
9,8,8,V
11,5,6,V
12,6,6,V
10,6,6,V
10,5,7,V
11,6,7,V
12,8,9,V
12,7,3,V
10,7,6,V
10,8,7,V
12,5,7,V
10,6,7,V
11,7,6,V
10,6,7,V
12,7,7,V
11,4,7,V
12,9,8,V
9,4,6,V
10,9,9,V
7,5,5,V
9,6,7,V
10,6,5,V
11,5,6,V
9,7,7,V
10,6,7,V
10,8,8,V
10,9,9,V
10,8,8,V
10,7,8,V
11,9,9,V
10,7,7,V
9,8,8,V
8,5,5,V
10,9,9,V
9,7,6,V
11,6,7,V
11,8,7,V
9,8,8,V
6,5,5,V
8,9,5,VA
10,10,9,VA
7,8,5,VA
9,8,5,VA
6,7,5,VA
10,9,5,VA
9,8,7,VA
10,9,6,VA
7,8,6,VA
12,10,4,VA
9,8,7,VA
9,7,5,VA
9,8,6,VA
8,8,5,VA
10,10,9,VA
8,7,4,VA
8,7,6,VA
10,9,8,VA
10,9,8,VA
9,10,8,VA
7,7,5,VA
5,6,4,VA
11,10,7,VA
8,8,8,VAK
8,8,8,VAK
6,6,6,VAK
6,6,6,VAK
8,8,8,VAK
5,2,8,VK
9,6,9,VK
9,8,9,VK
8,6,7,VK
8,5,11,VK
8,4,9,VK
8,4,10,VK
7,5,9,VK
9,5,9,VK
10,5,8,VK
9,7,9,VK
8,3,10,VK
9,8,9,VK
9,4,7,VK
10,6,8,VK
8,7,9,VK
9,8,9,VK
6,5,7,VK
9,6,8,VK
8,6,7,VK
8,7,8,VK
12,7,11,VK
9,4,7,VK
8,5,10,VK
9,4,8,VK
8,6,10,VK
9,5,7,VK
11,4,10,VK
9,4,8,VK
9,6,9,VK
9,5,7,VK
6,5,7,VK
7,5,7,VK
10,6,11,VK
9,7,10,VK
9,8,10,VK
6,4,6,VK
7,5,8,VK
9,6,8,VK
9,7,8,VK
9,6,10,VK
10,8,10,VK
7,6,7,VK
11,9,10,VK
8,6,8,VK
6,4,6,VK
10,6,10,VK
7,6,8,VK
8,4,8,VK
7,5,8,VK
9,7,8,VK
9,8,10,VK
8,7,8,VK
8,5,8,VK
10,6,9,VK
12,7,12,VK
7,6,7,VK
7,4,7,VK
9,7,8,VK
9,4,7,VK
9,7,9,VK
7,5,6,VK
8,3,9,VK
9,4,11,VK
6,9,6,A
7,11,7,A
4,6,4,A
9,10,9,A
4,8,5,A
7,8,7,A
7,9,10,AK
7,9,8,AK
5,7,6,AK
7,8,8,AK
7,9,8,AK
6,9,10,AK
5,9,12,AK
4,8,11,AK
6,7,8,AK
6,8,9,AK
1,7,8,AK
7,10,13,AK
3,11,9,AK
3,10,8,AK
6,8,8,AK
6,8,7,AK
7,10,9,AK
6,7,7,AK
5,8,9,AK
4,11,12,AK
6,8,8,AK
8,9,9,AK
3,6,8,AK
7,9,8,AK
7,10,11,AK
6,8,10,AK
6,9,8,AK
5,9,7,AK
3,7,11,AK
7,9,10,AK
6,8,8,AK
5,7,7,AK
6,11,9,AK
5,10,10,AK
3,6,9,AK
3,7,9,AK
3,5,5,AK
7,9,9,AK
3,7,9,AK
7,10,9,AK
4,6,10,K
6,5,8,K
7,7,11,K
8,8,9,K
9,8,11,K
7,6,9,K
8,7,14,K
7,7,11,K
8,9,12,K
7,6,11,K
8,7,11,K
5,5,8,K
5,7,11,K
7,7,9,K
5,6,8,K
5,8,12,K
6,6,8,K
8,7,10,K
